OpportunityId,StageName,CreatedDate
006_6erjywsptcfaau,Qualified,2023-03-29
006_6erjywsptcfaau,Proposal,2023-04-21
006_6erjywsptcfaau,Negotiation,2023-04-25
006_6erjywsptcfaau,Closed Won,2023-04-29
006_ozyt82vdjv4c57,Prospecting,2023-07-24
006_ozyt82vdjv4c57,Qualified,2023-08-03
006_ozyt82vdjv4c57,Proposal,2023-08-15
006_mq4j87zw9bsxmd,Prospecting,2025-07-12
006_mq4j87zw9bsxmd,Qualified,2025-07-26
006_mq4j87zw9bsxmd,Proposal,2025-08-06
006_mq4j87zw9bsxmd,Negotiation,2025-08-16
006_mq4j87zw9bsxmd,Closed Won,2025-09-05
006_yyratsdp1h20my,Prospecting,2024-10-29
006_yyratsdp1h20my,Qualified,2024-11-01
006_moeja0bhmd39w5,Prospecting,2025-10-01
006_moeja0bhmd39w5,Qualified,2025-10-10
006_moeja0bhmd39w5,Proposal,2025-10-24
006_moeja0bhmd39w5,Negotiation,2025-11-08
006_moeja0bhmd39w5,Closed Lost,2025-11-14
006_iuc93qv82exm5e,Prospecting,2023-03-07
006_iuc93qv82exm5e,Qualified,2023-03-14
006_iuc93qv82exm5e,Proposal,2023-04-07
006_iuc93qv82exm5e,Negotiation,2023-04-25
006_iuc93qv82exm5e,Closed Lost,2023-05-03
006_dr8r1pc7lhyva8,Prospecting,2023-11-06
006_dr8r1pc7lhyva8,Qualified,2023-11-13
006_dr8r1pc7lhyva8,Negotiation,2023-11-23
006_dkqa0tq7chhb8w,Prospecting,2023-05-16
006_dkqa0tq7chhb8w,Qualified,2023-05-28
006_dkqa0tq7chhb8w,Negotiation,2023-06-14
006_ch9j7o0otpetmx,Prospecting,2024-10-20
006_ch9j7o0otpetmx,Qualified,2024-10-27
006_ch9j7o0otpetmx,Proposal,2024-11-03
006_ch9j7o0otpetmx,Negotiation,2024-11-10
006_ch9j7o0otpetmx,Closed Won,2024-11-16
006_6s7lfgpx0nlsic,Prospecting,2024-09-26
006_6s7lfgpx0nlsic,Qualified,2024-10-18
006_6s7lfgpx0nlsic,Negotiation,2024-10-29
006_9a0rb5b08yykxb,Prospecting,2024-09-11
006_9a0rb5b08yykxb,Qualified,2024-09-15
006_9a0rb5b08yykxb,Proposal,2024-09-18
006_9a0rb5b08yykxb,Negotiation,2024-09-27
006_9a0rb5b08yykxb,Closed Lost,2024-10-10
006_6tvluex47hy8zf,Prospecting,2025-08-06
006_6tvluex47hy8zf,Qualified,2025-08-26
006_6tvluex47hy8zf,Proposal,2025-09-08
006_6tvluex47hy8zf,Negotiation,2025-09-29
006_6tvluex47hy8zf,Closed Lost,2025-10-02
006_lhfoech85ridqv,Prospecting,2024-11-20
006_lhfoech85ridqv,Qualified,2024-11-24
006_lhfoech85ridqv,Proposal,2024-12-13
006_lhfoech85ridqv,Negotiation,2024-12-22
006_lhfoech85ridqv,Closed Lost,2025-01-13
006_sbd00phvcecl15,Prospecting,2024-05-04
006_sbd00phvcecl15,Qualified,2024-05-25
006_sbd00phvcecl15,Proposal,2024-06-15
006_sbd00phvcecl15,Negotiation,2024-07-07
006_sbd00phvcecl15,Closed Lost,2024-07-20
006_01t2hcmk3ptn6w,Prospecting,2025-10-06
006_01t2hcmk3ptn6w,Qualified,2025-10-11
006_01t2hcmk3ptn6w,Proposal,2025-10-17
006_a4m69ffh2goply,Prospecting,2024-06-01
006_a4m69ffh2goply,Qualified,2024-06-24
006_a4m69ffh2goply,Proposal,2024-07-08
006_a4m69ffh2goply,Negotiation,2024-07-12
006_a4m69ffh2goply,Closed Lost,2024-07-31
006_hn3v3squjmvgjg,Prospecting,2023-03-27
006_hn3v3squjmvgjg,Qualified,2023-04-11
006_hn3v3squjmvgjg,Proposal,2023-04-26
006_hn3v3squjmvgjg,Negotiation,2023-05-17
006_hn3v3squjmvgjg,Closed Lost,2023-06-05
006_97fnrfv62ly1cq,Prospecting,2024-05-07
006_97fnrfv62ly1cq,Proposal,2024-05-17
006_nynrotsdarl7dw,Prospecting,2025-06-07
006_nynrotsdarl7dw,Qualified,2025-06-28
006_nynrotsdarl7dw,Proposal,2025-07-10
006_nynrotsdarl7dw,Negotiation,2025-07-15
006_nynrotsdarl7dw,Closed Lost,2025-08-07
006_4xpj4jqg57mb0h,Prospecting,2024-09-10
006_4xpj4jqg57mb0h,Qualified,2024-09-30
006_4xpj4jqg57mb0h,Proposal,2024-10-18
006_4xpj4jqg57mb0h,Negotiation,2024-10-27
006_4xpj4jqg57mb0h,Closed Won,2024-11-04
006_3g7s1py5echof0,Prospecting,2024-05-07
006_3g7s1py5echof0,Qualified,2024-05-18
006_3g7s1py5echof0,Proposal,2024-05-29
006_3g7s1py5echof0,Negotiation,2024-06-10
006_3g7s1py5echof0,Closed Won,2024-06-14
006_nvut4p1o594e72,Prospecting,2025-01-31
006_nvut4p1o594e72,Qualified,2025-02-16
006_nvut4p1o594e72,Proposal,2025-02-19
006_nvut4p1o594e72,Negotiation,2025-03-13
006_nvut4p1o594e72,Closed Lost,2025-03-22
006_du8tvce9eo5tkg,Prospecting,2024-03-25
006_du8tvce9eo5tkg,Proposal,2024-04-17
006_k59m8pu5hv58xx,Prospecting,2023-12-09
006_k59m8pu5hv58xx,Qualified,2023-12-26
006_k59m8pu5hv58xx,Proposal,2024-01-17
006_k59m8pu5hv58xx,Negotiation,2024-01-28
006_k59m8pu5hv58xx,Closed Lost,2024-02-08
006_jb5td9or43ovrv,Prospecting,2024-03-22
006_jb5td9or43ovrv,Qualified,2024-04-08
006_jb5td9or43ovrv,Negotiation,2024-05-02
006_dr1d97ew9lgrmd,Prospecting,2025-04-01
006_dr1d97ew9lgrmd,Qualified,2025-04-25
006_dr1d97ew9lgrmd,Proposal,2025-05-10
006_dr1d97ew9lgrmd,Negotiation,2025-05-19
006_dr1d97ew9lgrmd,Closed Lost,2025-05-30
006_y7o3vxbicxw4ez,Prospecting,2025-08-19
006_y7o3vxbicxw4ez,Qualified,2025-08-22
006_y7o3vxbicxw4ez,Proposal,2025-09-07
006_y7o3vxbicxw4ez,Negotiation,2025-09-10
006_y7o3vxbicxw4ez,Closed Won,2025-09-29
006_f5m1twykuh41u0,Prospecting,2023-03-05
006_f5m1twykuh41u0,Qualified,2023-03-09
006_f5m1twykuh41u0,Negotiation,2023-03-16
006_reumwwlzy7t8tr,Prospecting,2024-08-19
006_reumwwlzy7t8tr,Qualified,2024-09-12
006_reumwwlzy7t8tr,Proposal,2024-09-23
006_reumwwlzy7t8tr,Negotiation,2024-10-11
006_reumwwlzy7t8tr,Closed Lost,2024-10-19
006_61msvlh72ledj8,Prospecting,2023-12-28
006_61msvlh72ledj8,Qualified,2024-01-16
006_61msvlh72ledj8,Negotiation,2024-01-31
006_v1j7r8pts1yz8d,Prospecting,2024-12-21
006_v1j7r8pts1yz8d,Proposal,2024-12-24
006_fzaxmxcyizm9ff,Prospecting,2023-11-17
006_fzaxmxcyizm9ff,Qualified,2023-11-26
006_fzaxmxcyizm9ff,Proposal,2023-12-19
006_fzaxmxcyizm9ff,Negotiation,2024-01-08
006_0aijzn6tdrymie,Prospecting,2025-09-13
006_0aijzn6tdrymie,Qualified,2025-09-19
006_0aijzn6tdrymie,Proposal,2025-09-24
006_0aijzn6tdrymie,Negotiation,2025-09-28
006_0aijzn6tdrymie,Closed Lost,2025-10-18
006_yqfc18pvxiqc9a,Prospecting,2025-04-14
006_yqfc18pvxiqc9a,Qualified,2025-04-27
006_yqfc18pvxiqc9a,Proposal,2025-05-08
006_yqfc18pvxiqc9a,Negotiation,2025-05-20
006_yqfc18pvxiqc9a,Closed Lost,2025-05-28
006_lrfl9c7a1n6ox1,Prospecting,2024-12-08
006_lrfl9c7a1n6ox1,Qualified,2024-12-22
006_kgt2i62o34e6fz,Prospecting,2023-09-08
006_kgt2i62o34e6fz,Qualified,2023-09-16
006_kgt2i62o34e6fz,Proposal,2023-10-05
006_kgt2i62o34e6fz,Negotiation,2023-10-11
006_kgt2i62o34e6fz,Closed Won,2023-10-16
006_nuw1r31ey51e72,Prospecting,2024-11-02
006_nuw1r31ey51e72,Qualified,2024-11-22
006_nuw1r31ey51e72,Proposal,2024-12-13
006_nuw1r31ey51e72,Negotiation,2025-01-04
006_nuw1r31ey51e72,Closed Won,2025-01-14
006_wr4m6v79armaw1,Prospecting,2024-08-30
006_wr4m6v79armaw1,Qualified,2024-09-05
006_wr4m6v79armaw1,Proposal,2024-09-14
006_wr4m6v79armaw1,Negotiation,2024-09-22
006_wr4m6v79armaw1,Closed Won,2024-10-06
006_ya8u82rfl3i3g2,Prospecting,2023-10-26
006_ya8u82rfl3i3g2,Qualified,2023-11-06
006_ya8u82rfl3i3g2,Proposal,2023-11-14
006_ya8u82rfl3i3g2,Negotiation,2023-11-29
006_ya8u82rfl3i3g2,Closed Lost,2023-12-13
006_0cthpb0qa1qh1t,Prospecting,2024-06-01
006_0cthpb0qa1qh1t,Qualified,2024-06-15
006_0cthpb0qa1qh1t,Proposal,2024-06-28
006_0cthpb0qa1qh1t,Negotiation,2024-07-03
006_0cthpb0qa1qh1t,Closed Lost,2024-07-22
006_4h66bglu02ci4w,Prospecting,2023-03-11
006_4h66bglu02ci4w,Qualified,2023-03-18
006_4h66bglu02ci4w,Proposal,2023-03-26
006_4h66bglu02ci4w,Negotiation,2023-03-30
006_4h66bglu02ci4w,Closed Won,2023-04-19
006_xq9dxc2ypb6ind,Prospecting,2024-11-16
006_xq9dxc2ypb6ind,Qualified,2024-12-01
006_xq9dxc2ypb6ind,Proposal,2024-12-06
006_xq9dxc2ypb6ind,Negotiation,2024-12-23
006_xq9dxc2ypb6ind,Closed Lost,2025-01-14
006_e4ut41onex2azp,Prospecting,2023-06-19
006_e4ut41onex2azp,Qualified,2023-06-26
006_jy2anhudb97aus,Prospecting,2024-05-15
006_jy2anhudb97aus,Qualified,2024-06-03
006_12o9pd2w2n0xn0,Prospecting,2025-10-02
006_12o9pd2w2n0xn0,Qualified,2025-10-05
006_12o9pd2w2n0xn0,Proposal,2025-10-15
006_12o9pd2w2n0xn0,Negotiation,2025-10-31
006_12o9pd2w2n0xn0,Closed Won,2025-11-24
006_dfb3gp52c5gell,Prospecting,2025-03-03
006_dfb3gp52c5gell,Qualified,2025-03-06
006_dfb3gp52c5gell,Proposal,2025-03-25
006_5v91zny6gzy0kn,Prospecting,2025-09-01
006_5v91zny6gzy0kn,Qualified,2025-09-08
006_k98qhiqls0gprt,Prospecting,2024-04-07
006_k98qhiqls0gprt,Negotiation,2024-04-16
006_bczciy6clpub37,Prospecting,2023-03-14
006_bczciy6clpub37,Qualified,2023-03-26
006_bczciy6clpub37,Proposal,2023-04-05
006_bczciy6clpub37,Negotiation,2023-04-27
006_bczciy6clpub37,Closed Won,2023-05-10
006_mb6pmu1icb6hqh,Prospecting,2024-04-06
006_mb6pmu1icb6hqh,Qualified,2024-04-23
006_mb6pmu1icb6hqh,Proposal,2024-05-07
006_mb6pmu1icb6hqh,Negotiation,2024-05-27
006_mb6pmu1icb6hqh,Closed Lost,2024-06-04
006_12h7oxv7qvigjv,Prospecting,2023-10-13
006_12h7oxv7qvigjv,Qualified,2023-10-17
006_vuto5t8z3nndwq,Prospecting,2023-01-14
006_vuto5t8z3nndwq,Proposal,2023-02-05
006_ot7v0ghovseb15,Prospecting,2024-07-10
006_ot7v0ghovseb15,Qualified,2024-07-18
006_hxjswfr2abyshr,Prospecting,2023-07-13
006_hxjswfr2abyshr,Qualified,2023-07-17
006_hxjswfr2abyshr,Proposal,2023-08-06
006_hxjswfr2abyshr,Negotiation,2023-08-12
006_hxjswfr2abyshr,Closed Lost,2023-08-19
006_1vat7f9gpizbk9,Prospecting,2024-01-06
006_1vat7f9gpizbk9,Qualified,2024-01-17
006_1vat7f9gpizbk9,Proposal,2024-02-04
006_1vat7f9gpizbk9,Negotiation,2024-02-18
006_1vat7f9gpizbk9,Closed Won,2024-03-12
006_my54wzbolozkzm,Prospecting,2023-10-17
006_my54wzbolozkzm,Qualified,2023-11-02
006_my54wzbolozkzm,Proposal,2023-11-13
006_my54wzbolozkzm,Negotiation,2023-11-20
006_my54wzbolozkzm,Closed Won,2023-12-14
006_iiyui2gt4guce5,Prospecting,2024-02-14
006_iiyui2gt4guce5,Qualified,2024-02-27
006_iiyui2gt4guce5,Proposal,2024-03-06
006_iiyui2gt4guce5,Negotiation,2024-03-28
006_iiyui2gt4guce5,Closed Won,2024-04-11
006_wukb2ieb2iyc3e,Prospecting,2025-01-25
006_wukb2ieb2iyc3e,Qualified,2025-02-12
006_wukb2ieb2iyc3e,Proposal,2025-03-02
006_wukb2ieb2iyc3e,Negotiation,2025-03-07
006_wukb2ieb2iyc3e,Closed Won,2025-03-26
006_gv9wlv6dtvqqav,Prospecting,2023-09-15
006_gv9wlv6dtvqqav,Qualified,2023-09-26
006_gv9wlv6dtvqqav,Proposal,2023-10-18
006_gv9wlv6dtvqqav,Negotiation,2023-10-22
006_gv9wlv6dtvqqav,Closed Won,2023-11-11
006_1rgfsog27tm63y,Prospecting,2025-03-20
006_1rgfsog27tm63y,Qualified,2025-03-30
006_1rgfsog27tm63y,Proposal,2025-04-02
006_1rgfsog27tm63y,Negotiation,2025-04-17
006_1rgfsog27tm63y,Closed Won,2025-04-22
006_y4913ubt2mcj4q,Prospecting,2024-11-25
006_y4913ubt2mcj4q,Qualified,2024-12-06
006_y4913ubt2mcj4q,Proposal,2024-12-28
006_y4913ubt2mcj4q,Negotiation,2025-01-10
006_y4913ubt2mcj4q,Closed Won,2025-01-29
006_whykokhdwg61mi,Prospecting,2024-10-13
006_whykokhdwg61mi,Qualified,2024-10-17
006_ol6q0q02dr1g39,Prospecting,2023-12-05
006_ol6q0q02dr1g39,Proposal,2023-12-16
006_euxowtfvg4v8hk,Prospecting,2023-05-20
006_euxowtfvg4v8hk,Qualified,2023-06-01
006_euxowtfvg4v8hk,Proposal,2023-06-17
006_euxowtfvg4v8hk,Negotiation,2023-07-02
006_euxowtfvg4v8hk,Closed Lost,2023-07-13
006_mhaolarx7svg9b,Prospecting,2024-04-07
006_mhaolarx7svg9b,Qualified,2024-04-20
006_w4o8mtyyzh48gc,Prospecting,2023-10-16
006_w4o8mtyyzh48gc,Qualified,2023-11-03
006_b5autandx0btaj,Prospecting,2023-10-05
006_b5autandx0btaj,Qualified,2023-10-28
006_b5autandx0btaj,Proposal,2023-11-16
006_b5autandx0btaj,Negotiation,2023-11-20
006_b5autandx0btaj,Closed Lost,2023-11-27
006_k36vt62nyv5s2d,Prospecting,2025-06-03
006_k36vt62nyv5s2d,Qualified,2025-06-07
006_k36vt62nyv5s2d,Proposal,2025-06-25
006_k36vt62nyv5s2d,Negotiation,2025-07-09
006_k36vt62nyv5s2d,Closed Lost,2025-07-13
006_o43fsu5ecjqa95,Prospecting,2024-01-09
006_o43fsu5ecjqa95,Qualified,2024-01-23
006_o43fsu5ecjqa95,Proposal,2024-01-29
006_o43fsu5ecjqa95,Negotiation,2024-02-21
006_o43fsu5ecjqa95,Closed Won,2024-03-06
006_j6sk5nq82q6m3h,Prospecting,2023-02-17
006_j6sk5nq82q6m3h,Qualified,2023-02-27
006_j6sk5nq82q6m3h,Proposal,2023-03-04
006_j6sk5nq82q6m3h,Negotiation,2023-03-17
006_j6sk5nq82q6m3h,Closed Won,2023-04-09
006_pjv5mz47nwskt7,Prospecting,2024-03-16
006_pjv5mz47nwskt7,Qualified,2024-03-31
006_pjv5mz47nwskt7,Negotiation,2024-04-05
006_9zm8jh0jy7d9e4,Prospecting,2025-06-05
006_9zm8jh0jy7d9e4,Qualified,2025-06-10
006_9zm8jh0jy7d9e4,Proposal,2025-06-29
006_9zm8jh0jy7d9e4,Negotiation,2025-07-16
006_9zm8jh0jy7d9e4,Closed Lost,2025-08-06
006_q5mfxshh01609e,Prospecting,2023-07-01
006_q5mfxshh01609e,Qualified,2023-07-21
006_q5mfxshh01609e,Proposal,2023-08-12
006_q5mfxshh01609e,Negotiation,2023-08-22
006_q5mfxshh01609e,Closed Lost,2023-09-15
006_28cquen1eva0hp,Prospecting,2024-05-20
006_28cquen1eva0hp,Qualified,2024-06-05
006_kurb2s3vfvsdas,Prospecting,2023-12-29
006_kurb2s3vfvsdas,Qualified,2024-01-08
006_kurb2s3vfvsdas,Proposal,2024-01-30
006_kurb2s3vfvsdas,Negotiation,2024-02-05
006_kurb2s3vfvsdas,Closed Won,2024-02-12
006_qqi34o8rngm07z,Prospecting,2023-08-01
006_qqi34o8rngm07z,Proposal,2023-08-19
006_9jhrklq1q15zr5,Prospecting,2025-08-04
006_9jhrklq1q15zr5,Qualified,2025-08-23
006_9jhrklq1q15zr5,Proposal,2025-09-08
006_9jhrklq1q15zr5,Negotiation,2025-09-26
006_9jhrklq1q15zr5,Closed Lost,2025-10-09
006_zvmbl7nb1qix8e,Prospecting,2023-09-11
006_zvmbl7nb1qix8e,Qualified,2023-09-23
006_zvmbl7nb1qix8e,Negotiation,2023-10-09
006_hed2omtck78pk3,Prospecting,2024-10-01
006_hed2omtck78pk3,Qualified,2024-10-07
006_hed2omtck78pk3,Proposal,2024-10-29
006_hed2omtck78pk3,Negotiation,2024-11-15
006_hed2omtck78pk3,Closed Won,2024-11-23
006_vjwf4rza6kjvdu,Prospecting,2023-04-11
006_vjwf4rza6kjvdu,Qualified,2023-04-24
006_vjwf4rza6kjvdu,Proposal,2023-04-28
006_vjwf4rza6kjvdu,Negotiation,2023-05-03
006_vjwf4rza6kjvdu,Closed Lost,2023-05-21
006_nvd60erty0a1cv,Prospecting,2024-06-25
006_nvd60erty0a1cv,Qualified,2024-07-08
006_nvd60erty0a1cv,Negotiation,2024-07-25
006_hdy7zws9forciv,Prospecting,2024-11-08
006_hdy7zws9forciv,Qualified,2024-11-26
006_hdy7zws9forciv,Proposal,2024-12-20
006_hdy7zws9forciv,Negotiation,2025-01-02
006_hdy7zws9forciv,Closed Won,2025-01-05
006_ygbjo2ieo039qw,Prospecting,2025-05-29
006_ygbjo2ieo039qw,Qualified,2025-06-13
006_ygbjo2ieo039qw,Proposal,2025-06-27
006_ygbjo2ieo039qw,Negotiation,2025-07-09
006_ygbjo2ieo039qw,Closed Lost,2025-07-18
006_qgkibe7iagjfmv,Prospecting,2023-08-21
006_qgkibe7iagjfmv,Qualified,2023-09-03
006_qgkibe7iagjfmv,Proposal,2023-09-09
006_qgkibe7iagjfmv,Negotiation,2023-09-15
006_qgkibe7iagjfmv,Closed Lost,2023-09-29
006_ub2i1dzcl37217,Prospecting,2024-04-27
006_ub2i1dzcl37217,Qualified,2024-05-14
006_ub2i1dzcl37217,Proposal,2024-05-24
006_ub2i1dzcl37217,Negotiation,2024-06-04
006_ub2i1dzcl37217,Closed Won,2024-06-08
006_eudur3zoghot4b,Prospecting,2023-03-22
006_eudur3zoghot4b,Qualified,2023-04-02
006_pfmthk9podj2sh,Prospecting,2023-03-10
006_pfmthk9podj2sh,Negotiation,2023-03-13
006_7ss5ae7xcwe6vb,Prospecting,2023-08-28
006_7ss5ae7xcwe6vb,Qualified,2023-09-20
006_7ss5ae7xcwe6vb,Proposal,2023-09-23
006_7ss5ae7xcwe6vb,Negotiation,2023-10-04
006_7ss5ae7xcwe6vb,Closed Won,2023-10-08
006_l5im2lshxd2x6f,Prospecting,2024-06-03
006_l5im2lshxd2x6f,Qualified,2024-06-25
006_l5im2lshxd2x6f,Proposal,2024-07-06
006_l5im2lshxd2x6f,Negotiation,2024-07-27
006_l5im2lshxd2x6f,Closed Lost,2024-08-04
006_o15kypwdnr75n0,Prospecting,2024-09-06
006_o15kypwdnr75n0,Qualified,2024-09-17
006_o15kypwdnr75n0,Proposal,2024-10-03
006_o15kypwdnr75n0,Negotiation,2024-10-12
006_o15kypwdnr75n0,Closed Won,2024-10-26
006_z7jtedn2z38hcr,Prospecting,2023-09-24
006_z7jtedn2z38hcr,Qualified,2023-10-17
006_z7jtedn2z38hcr,Proposal,2023-11-04
006_z7jtedn2z38hcr,Negotiation,2023-11-17
006_z7jtedn2z38hcr,Closed Lost,2023-12-05
006_1pwlo3gcawdl3w,Prospecting,2023-06-02
006_1pwlo3gcawdl3w,Qualified,2023-06-22
006_1pwlo3gcawdl3w,Proposal,2023-07-01
006_1pwlo3gcawdl3w,Negotiation,2023-07-07
006_1pwlo3gcawdl3w,Closed Won,2023-07-25
006_orz29qrldgn79w,Prospecting,2024-10-11
006_orz29qrldgn79w,Qualified,2024-10-17
006_et8rso382f7vjz,Prospecting,2025-07-05
006_et8rso382f7vjz,Qualified,2025-07-24
006_et8rso382f7vjz,Proposal,2025-08-03
006_et8rso382f7vjz,Negotiation,2025-08-19
006_et8rso382f7vjz,Closed Won,2025-08-30
006_mumyar7zpjgg1l,Prospecting,2023-10-13
006_mumyar7zpjgg1l,Negotiation,2023-11-04
006_7meza6hvh4r9x4,Prospecting,2025-03-12
006_7meza6hvh4r9x4,Qualified,2025-03-24
006_7meza6hvh4r9x4,Proposal,2025-03-27
006_yasn6cf0yh6nf8,Prospecting,2024-03-24
006_yasn6cf0yh6nf8,Qualified,2024-04-02
006_2kpv1qerje6nck,Prospecting,2024-10-13
006_2kpv1qerje6nck,Qualified,2024-10-25
006_2kpv1qerje6nck,Proposal,2024-11-03
006_2kpv1qerje6nck,Negotiation,2024-11-26
006_2kpv1qerje6nck,Closed Lost,2024-12-08
006_n4san2xh6vx6t1,Prospecting,2024-04-30
006_n4san2xh6vx6t1,Qualified,2024-05-17
006_n4san2xh6vx6t1,Proposal,2024-05-20
006_n4san2xh6vx6t1,Negotiation,2024-05-29
006_n4san2xh6vx6t1,Closed Won,2024-06-11
006_qnrx3u1xy8rbdp,Prospecting,2025-07-15
006_qnrx3u1xy8rbdp,Qualified,2025-07-18
006_qnrx3u1xy8rbdp,Proposal,2025-08-05
006_qnrx3u1xy8rbdp,Negotiation,2025-08-12
006_qnrx3u1xy8rbdp,Closed Won,2025-08-26
006_7v0awqa4wg1nlt,Prospecting,2023-06-27
